Time,AIBL,AIBR,ALML,ALMR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVM,DA01,DA02,DA03,DA04,DA05,DA06,DA07,DA08,DA09,DB01,DB02,DB03,DB04,DB05,DB06,DB07,PVCL,PVCR,RIML,RIMR,RIVL,RIVR,SMDDL,SMDDR,SMDVL,SMDVR,VA01,VA02,VA03,VA04,VA05,VA06,VA07,VA08,VA09,VA10,VA11,VA12,VB01,VB02,VB03,VB04,VB05,VB06,VB07,VB08,VB09,VB10,VB11
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.7527118644067796,0.7522950819672132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.09090909090909091,0.16666666666666666,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.09090909090909091,0.0,0.0,0.0,0.1,0.23529411764705882,0.2,0.2857142857142857,0.2,0.375,0.4,0.37037037037037035,0.15217391304347827,0.375,0.42857142857142855
2,0.0,0.03125,0.0,0.0,0.006566590979171923,0.0051653660349312526,0.6427153838224734,0.6272007136590145,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.407516411184444,0.20157228017883755,0.28189451825843875,0.43173056017349976,0.3731258682967491,0.373143234231731,0.746286468463462,0.02612876254180602,0.0037081339712918666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.056902787677199654,0.18016619029448683,0.0,0.0,0.07142857142857142,0.20542091906099882,0.4056135691286795,0.3469884281581485,0.4764295637677133,0.3881432132174904,0.5721627535426508,0.6205308010395045,0.564336433769217,0.24394252377356077,0.5597148513475965,0.6396741158258246
3,0.0,0.0740645513980555,0.0,0.0,0.016258332347890266,0.012862867146472529,0.6023851948435999,0.5690622682568734,0.0,0.0,0.0,0.003208355578505766,0.002346391402820635,0.0025826830174656263,0.05057506212112228,0.002159561410255212,0.003166526744232572,0.0032832954895859615,0.0017217886783104175,0.0,0.5216631907028338,0.3202601594312081,0.38367818390886277,0.5764360056097806,0.43614399623351313,0.437153597851604,0.8710239002136221,0.060236700619479513,0.012835024362538293,0.0034650610058218757,0.0012432569486223511,0.0,0.0025625,0.0,0.0,0.00125,0.027942091906099885,0.0024624716171894713,0.0032832954895859615,0.0028162205081724047,0.002451409898218409,0.002684947388925187,0.003108142371555878,0.02163760462901101,0.09044213267730797,0.2612801356398483,0.0029329892535257937,0.0026702595764806682,0.1611912841730907,0.3185629603310061,0.5454570179236056,0.4642938083693759,0.6216451900122799,0.561189643189342,0.6861010731735508,0.7537373691783988,0.673977882843211,0.30668839851970353,0.6565340204779424,0.7516939552851455
4,1.554071185777939E-4,0.12039238943527916,0.0,0.0,0.02780037494459221,0.022213096630780926,0.5986340337863831,0.5491909177917237,0.0,0.0,0.0,0.01031426540075173,0.007806816698678776,0.008342619006160828,0.08442512579017476,0.00723029680480801,0.010189440531225759,0.010558804836238745,0.005561746004107219,8.608943391552088E-4,0.6170781726100969,0.4460371884941744,0.48773297903085416,0.7025213009480207,0.472393206886977,0.47537763365916563,0.9401964624820925,0.09527733964193735,0.026674136031767746,0.0108800022852249,0.004001903351487706,3.9843750000000003E-4,0.008393686760512765,0.0,0.0,0.004417761488262485,0.05285219404361453,0.008212402552531637,0.010558804836238745,0.0090813476161868,0.008028122712730007,0.008766851322755977,0.010004758378719267,0.040328368769034194,0.12392134145848577,0.33412196977606184,0.009450711921199785,0.008619642234920568,0.24885149855110222,0.4398867388477564,0.6723464798053701,0.5662656531702579,0.745887709587866,0.7210777030397766,0.7635138046500001,0.8466008476044704,0.7450480419443932,0.356061711220007,0.7150938449741215,0.8211718554868103
5,6.650438741835308E-4,0.16742974532372729,0.0,0.0,0.04081910996621338,0.03302208835136044,0.6153800201912373,0.552663548771878,0.0,0.0,0.0,0.02122619713590671,0.016600978927350084,0.017280086379949475,0.12082904251827867,0.015460204354065782,0.020974766939252227,0.021713703051112775,0.011663539976492186,0.003417934813028464,0.7064979368073558,0.5810507631254246,0.600873215351976,0.8210342154634354,0.49860236620132153,0.5042677914243048,0.9868218797974968,0.12903226912111623,0.04402777077154836,0.021786083582469848,0.008249889909257669,0.0016298776329916132,0.01755601082890486,0.0,0.0,0.009925472444266056,0.0841595542275148,0.017478170580430337,0.021713703051112775,0.018757958603670577,0.01683579005623565,0.018313662279956747,0.02060529888332195,0.06273422081196509,0.15722829156855211,0.4007332460143125,0.019496894715531125,0.01783428846384489,0.32841645038587763,0.569737824340831,0.7955599052342023,0.6618500690227856,0.8616945536488857,0.8714991064110349,0.8274711259141009,0.9232842655234664,0.8004113493272074,0.40009189447069926,0.7593864859066534,0.8749364208659597
6,0.0017271034096769731,0.2146691345411886,0.0,0.0,0.055312419111726095,0.045359604140007885,0.6449316596278624,0.5716751182388551,0.0,0.0,0.0,0.03571828419231972,0.02880078112779686,0.02929830809684283,0.1596663203713995,0.026951291824081354,0.03528113071691559,0.03647769524093014,0.020208038168562443,0.008361041749887155,0.7968280725932455,0.7280021090375701,0.7264901366379828,0.9388598662534828,0.5232267191972074,0.5319815755750682,1.0,0.161270756524362,0.06387927167086108,0.03557786201989836,0.01391214163905988,0.0040625180719299995,0.0299418784656266,0.0,0.0,0.01806852859132018,0.12150372726754785,0.030316134832767228,0.03647769524093014,0.03169143714487194,0.028860204330206335,0.03125333337823544,0.03468284845490832,0.08831960092772043,0.1908927709877138,0.4636244105155587,0.03288800166888649,0.030195731489853744,0.39985827288032955,0.708777004813473,0.9204058133438595,0.7567809671165893,0.9758767123150366,1.0,0.8894375322013909,0.9963950608034083,0.851637646269553,0.4431013868577416,0.8010029818553571,0.9256860677761375
7,0.0035248889870346948,0.2625536524149805,0.0,0.0,0.0714329367409687,0.059399078106272624,0.683148532968457,0.6019403931016527,0.0,0.0,0.0,0.053644214022857725,0.04447859616819319,0.044360550061667635,0.20142072646953108,0.04179688097349381,0.052934845038737396,0.054649704034151356,0.03146732324972003,0.016291189979197714,0.8921073001039261,0.8894794306207927,0.866759050969763,1.0,0.5506035204742751,0.5626226738280303,1.0,0.19250252728417094,0.08555769518883768,0.051776646463158486,0.020946183057147467,0.007986225181493847,0.0454470713255709,0.0,0.0,0.029066491825011663,0.1646880729354614,0.04677619458411964,0.054649704034151356,0.047790268052495546,0.04411953758699607,0.04754925557782397,0.05207741554103043,0.11692986917434221,0.22566327100462852,0.5251628279516681,0.0495051270479095,0.045646694308228104,0.46529600127413606,0.8580198958240399,1.0,0.8549082880005296,1.0,1.0,0.9541981558654383,1.0,0.904743355059379,0.48760304456049824,0.845593355825332,0.9795030578593051
8,0.006224968880235838,0.3118795976618719,0.0,0.0,0.08940294266697163,0.07536102970216987,0.7235700492931623,0.6384652746703934,0.0,0.0,0.0,0.07498911280952288,0.06375818359232319,0.06252634609877036,0.24677423580779767,0.060132182029962344,0.07388543214625869,0.07615724935575635,0.04580071023674998,0.027789142209466322,0.9885401263294553,1.0,1.0,1.0,0.5829324904362954,0.5982188010711985,1.0,0.22345674017718614,-0.6354583568929967,0.07009403576836443,0.029361314328099797,0.013627651850754707,0.06402594521336702,0.0,0.0,0.04309349121512804,0.21366919527845307,0.06696155979113595,0.07615724935575635,0.06706998051776569,0.06270719243065859,0.06725082684965392,0.07274952354150986,0.1486755131818819,0.26232834711202313,0.5873940192007931,0.06934179772726337,0.06423020900589362,1.0,1.0,1.0,0.9539239286685492,1.0,1.0,1.0,1.0,0.9628560752405213,0.5351847863938121,0.8958315816010879,1.0
9,0.009980097743731334,0.36274091687232535,0.0,0.0,0.10288369771528313,0.09074350856569893,0.7625936032639224,0.6776387423143082,0.0,0.0,0.0,0.09986601297615641,0.08683000631126106,0.08395001096417501,0.2946456609446946,0.08215198231835909,0.09820653170798375,0.10105783585674552,0.06364439251082933,0.04346432035338007,1.0,1.0,1.0,1.0,0.6204647158438455,0.6388330962308229,1.0,0.1833179186858559,-0.41741704028269944,0.09041972455744064,0.03921711393195988,0.021170109277189604,0.08570286405390597,0.0,0.0,0.06030128939034572,0.2666724735881484,0.09104743069459537,0.10105783585674552,0.08965261926169851,0.0847980027085165,0.09050061100604001,0.09678087963360289,0.18365156963743087,1.0,0.5841449806497009,0.09250392341046026,0.08608848907574633,0.9317870099007233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5865214958823738,0.951548134564043,1.0
